Person-No,Predicted-Personality
1,dependable
2,responsible
3,serious
4,serious
5,responsible
6,serious
7,serious
8,serious
9,serious
10,serious
11,serious
12,responsible
13,responsible
14,serious
15,lively
16,extraverted
17,serious
18,serious
19,serious
20,serious
21,serious
22,extraverted
23,serious
24,extraverted
25,serious
26,dependable
27,extraverted
28,extraverted
29,extraverted
30,responsible
31,responsible
32,lively
33,extraverted
34,lively
35,serious
36,serious
37,serious
38,serious
39,extraverted
40,serious
41,responsible
42,responsible
43,serious
44,lively
45,serious
46,serious
47,responsible
48,serious
49,serious
50,extraverted
51,serious
52,extraverted
53,serious
54,extraverted
55,serious
56,extraverted
57,serious
58,serious
59,serious
60,serious
61,responsible
62,serious
63,serious
64,serious
65,serious
66,serious
67,serious
68,extraverted
69,serious
70,serious
71,responsible
72,serious
73,serious
74,serious
75,serious
76,extraverted
77,serious
78,serious
79,serious
80,dependable
81,serious
82,serious
83,extraverted
84,extraverted
85,serious
86,lively
87,serious
88,serious
89,serious
90,serious
91,serious
92,responsible
93,serious
94,serious
95,serious
96,extraverted
97,serious
98,extraverted
99,serious
100,serious
101,extraverted
102,extraverted
103,extraverted
104,lively
105,extraverted
106,serious
107,serious
108,extraverted
109,serious
110,serious
111,serious
112,serious
113,lively
114,serious
115,serious
116,extraverted
117,serious
118,serious
119,serious
120,extraverted
121,lively
122,lively
123,serious
124,serious
125,lively
126,serious
127,serious
128,serious
129,serious
130,serious
131,serious
132,dependable
133,serious
134,extraverted
135,extraverted
136,serious
137,serious
138,serious
139,serious
140,serious
141,serious
142,serious
143,serious
144,serious
145,serious
146,extraverted
147,serious
148,serious
149,serious
150,serious
151,serious
152,lively
153,extraverted
154,extraverted
155,serious
156,responsible
157,extraverted
158,serious
159,serious
160,responsible
161,extraverted
162,serious
163,serious
164,serious
165,responsible
166,responsible
167,extraverted
168,extraverted
169,serious
170,serious
171,serious
172,serious
173,responsible
174,responsible
175,serious
176,serious
177,lively
178,serious
179,serious
180,extraverted
181,lively
182,extraverted
183,serious
184,serious
185,serious
186,serious
187,responsible
188,extraverted
189,extraverted
190,extraverted
191,serious
192,extraverted
193,responsible
194,lively
195,serious
196,serious
197,serious
198,dependable
199,responsible
200,serious
201,serious
202,extraverted
203,lively
204,serious
205,serious
206,serious
207,serious
208,serious
209,serious
210,serious
211,extraverted
212,extraverted
213,extraverted
214,extraverted
215,extraverted
216,extraverted
217,extraverted
218,dependable
219,dependable
220,dependable
221,extraverted
222,extraverted
223,extraverted
224,serious
225,serious
226,extraverted
227,serious
228,extraverted
229,serious
230,extraverted
231,extraverted
232,serious
233,serious
234,extraverted
235,extraverted
236,serious
237,responsible
238,extraverted
239,serious
240,serious
241,dependable
242,serious
243,serious
244,serious
245,serious
246,extraverted
247,serious
248,serious
249,serious
250,extraverted
251,serious
252,extraverted
253,serious
254,extraverted
255,serious
256,responsible
257,lively
258,extraverted
259,lively
260,serious
261,lively
262,responsible
263,lively
264,serious
265,serious
266,extraverted
267,serious
268,serious
269,serious
270,extraverted
271,extraverted
272,serious
273,extraverted
274,serious
275,lively
276,lively
277,extraverted
278,extraverted
279,serious
280,serious
281,responsible
282,extraverted
283,serious
284,extraverted
285,lively
286,dependable
287,dependable
288,extraverted
289,lively
290,extraverted
291,extraverted
292,serious
293,serious
294,serious
295,extraverted
296,serious
297,extraverted
298,serious
299,extraverted
300,serious
301,serious
302,extraverted
303,serious
304,serious
305,serious
306,serious
307,serious
308,responsible
309,serious
310,serious
311,lively
312,serious
313,dependable
314,extraverted
315,extraverted
